"Var1","Var2","Var4","Var9","Var10"
"M","D",47,10,4
"F","B",18,5,3
"M","B",15,5,3
"M","B",22,5,5
"F","B",25,9,5
"F","B",38,13,3
"F","B",15,12,4
"F","A",18,10,5
"F","A",36,1,2
"M","B",19,9,5
"M","B",24,5,5
"M","A",24,19,5
"F","A",25,11,3
"M","C",25,7,3
"F","A",18,3,3
"F","B",47,22,3
"F","B",16,3,3
"F","B",21,4,4
"F","D",15,1,4
"F","C",15,5,5
"M","C",19,6,5
"M","B",24,6,5
"M","C",17,6,5
"M","D",16,2,3
"M","B",20,8,5
"F","A",31,22,2
"F","B",17,2,4
"M","B",20,11,5
"F","A",37,10,3
"F","A",16,6,3
"F","C",17,10,5
"F","A",41,29,3
"F","A",30,1,3
"M","C",22,15,5
"M","C",26,17,3
"M","A",60,29,4
"F","D",18,2,4
"M","B",24,12,4
"F","C",25,15,5
"F","A",20,8,5
"M","B",29,13,4
"F","A",28,1,3
"F","A",25,17,5
"F","C",41,4,3
"F","C",43,13,5
"M","B",15,3,3
"M","C",18,4,5
"F","C",17,4,5
"F","A",24,8,4
"F","A",16,11,3
"F","C",18,6,4
"F","C",32,7,4
"M","A",15,6,5
"F","B",30,13,4
"F","C",23,4,5
"F","C",28,4,4
"F","B",31,12,3
"F","A",27,2,2
"M","C",33,12,5
"F","B",22,6,3
"F","D",24,5,5
"M","C",21,8,5
"F","A",24,5,5
"F","C",17,2,4
"F","A",28,9,3
"F","A",21,4,3
"F","B",25,12,3
"M","C",15,9,4
"M","B",17,3,3
"M","B",16,14,4
"M","C",42,11,3
"F","A",26,3,3
"F","B",19,6,3
"M","D",16,6,5
"M","C",39,15,5
"M","A",25,12,5
"F","A",17,2,3
"F","C",23,9,5
"F","B",26,3,2
"F","D",32,10,5
"M","B",19,7,5
"F","B",15,4,4
"F","A",28,10,4
"M","D",19,1,3
"M","B",66,45,4
"M","B",15,5,5
"F","A",15,2,4
"F","A",25,11,3
"F","B",19,2,3
"M","C",20,8,5
"M","B",26,30,5
"F","B",24,11,5
"M","A",16,4,5
"M","B",15,11,5
"M","B",23,4,5
"F","C",27,8,3
"F","D",22,2,4
"F","A",51,14,5
"M","C",23,3,4
"F","A",17,10,4
"F","B",30,9,2
"M","B",16,4,3
"F","A",38,1,2
"F","D",30,13,4
"F","B",19,2,3
"M","B",20,3,3
"F","B",19,4,3
"M","A",15,6,5
"M","A",18,13,4
"F","B",16,4,4
"M","C",25,10,4
"F","A",32,17,4
"M","A",16,2,4
"M","A",33,11,5
"F","A",25,0,1
"M","A",26,4,3
"F","A",43,1,3
"F","A",33,7,4
"F","B",21,6,4
"F","C",28,18,5
"F","B",24,4,5
"F","A",32,3,2
"F","A",16,1,4
"M","C",29,6,2
"F","A",50,11,4
"M","B",19,10,5
"F","B",44,24,4
"M","A",15,23,4
"F","B",16,4,3
"M","A",30,6,1
"M","A",17,10,5
"F","A",19,4,3
"F","A",36,3,3
"F","B",33,11,3
"F","A",15,1,3
"F","A",25,7,4
"M","B",32,2,4
"M","C",15,14,4
"F","A",20,2,4
"F","A",33,7,2
"F","B",27,10,4
"M","D",20,13,5
"M","D",30,1,3
"M","C",22,11,5
"F","B",15,2,3
"F","A",28,9,3
"F","B",19,5,4
"F","A",27,1,3
"F","B",15,2,4
"M","B",19,10,5
"F","A",32,9,4
"F","A",31,7,3
"M","A",30,10,4
"F","B",16,4,3
"M","C",16,4,5
"M","C",21,10,5
"M","C",15,7,5
"M","A",27,12,3
"M","A",17,4,4
"F","D",24,4,4
"M","B",16,4,5
"F","B",21,1,4
"F","C",35,8,2
"M","D",19,4,5
"M","B",21,11,4
"F","A",36,11,4
"M","B",25,14,3
"M","A",28,21,5
"M","C",19,2,3
"F","C",16,20,5
"F","A",29,7,3
"F","C",15,2,3
"M","A",24,7,4
"M","B",51,11,5
"M","A",17,16,5
"F","B",25,4,4
"M","A",18,5,3
"F","A",27,5,3
"F","D",39,12,3
"M","A",30,8,4
"F","B",48,7,3
"M","A",16,4,5
"F","B",34,12,2
"F","B",26,1,2
"M","C",28,7,5
"M","A",20,10,4
"F","B",24,12,3
"F","A",20,8,3
"M","A",30,1,3
"F","B",16,4,5
"F","D",24,12,5
"M","C",21,10,5
"M","C",22,12,5
"M","D",15,12,5
"M","A",17,2,4
"F","B",19,7,3
"M","A",27,9,3
"F","B",18,5,4
"F","B",18,7,4
"F","B",35,9,5
"F","C",16,12,5
"F","A",18,5,4
"F","C",33,14,4
"M","B",56,12,5
"F","A",29,16,3
"F","A",29,9,3
"F","B",21,3,3
"M","A",18,17,5
"M","B",21,2,4
"M","B",21,13,5
"F","A",25,13,4
"F","C",31,9,5
"F","B",33,2,3
"F","A",26,7,4
"M","C",25,5,3
"F","A",15,2,4
"M","D",21,12,5
"M","B",19,1,3
"F","A",36,1,3
"M","B",15,2,4
"M","A",25,7,5
"F","A",17,6,5
"M","B",42,6,5
"M","D",23,9,5
"F","C",19,3,3
"M","B",18,7,3
"M","B",20,8,4
"M","B",22,7,6
"M","A",17,7,5
"M","A",17,3,3
"F","A",27,1,4
"F","A",29,3,3
"F","B",20,7,3
"M","B",16,1,3
"M","B",22,5,5
"M","A",26,9,4
"M","B",21,5,3
"M","B",24,8,3
"F","B",20,12,5
"F","A",15,8,4
"F","A",25,8,4
"M","B",15,2,3
"F","A",27,2,2
"F","B",53,28,3
"F","B",19,3,3
"M","B",22,7,4
"F","A",16,4,3
"F","B",21,4,3
"F","D",36,10,3
"M","C",31,14,5
"M","B",40,16,3
"M","A",18,4,3
"F","A",27,9,3
"F","A",30,5,3
"M","A",24,15,5
"M","B",19,4,3
"M","B",20,6,4
"F","A",16,2,4
"F","B",17,6,3
"F","A",16,2,3
"M","B",16,1,4
"M","B",33,25,3
"M","C",40,12,2
"F","A",34,2,3
"M","B",23,9,3
"F","A",35,10,3
"F","B",48,6,5
"F","A",36,25,5
"F","D",19,10,5
"F","A",20,6,5
"F","D",16,17,5
"F","C",18,8,6
"F","B",24,11,5
"F","B",16,9,5
"M","B",23,9,4
"M","C",33,11,4
"M","A",17,1,4
"F","A",19,3,3
"F","D",22,10,4
"M","B",23,8,3
"F","B",39,18,3
"M","A",18,1,4
"F","A",32,4,2
"F","A",17,5,3
"F","C",25,11,5
"F","A",27,6,3
"F","A",30,0,1
"M","A",21,11,4
"F","C",24,3,4
"M","B",39,18,4
"F","B",34,14,3
"M","A",32,4,2
"M","C",20,17,5
"F","C",18,4,5
"F","A",36,12,3
"M","B",21,14,5
"F","D",18,8,4
"M","C",22,13,3
"F","A",15,1,3
"F","B",18,1,4
"F","B",38,20,5
"F","C",20,4,5
"M","C",26,10,4
"F","B",28,10,3
"F","C",18,1,3
"F","A",18,15,3
"F","A",18,5,5
"F","A",28,12,2
"F","B",18,4,5
"F","C",29,7,3
"F","B",20,3,3
"M","A",16,2,3
"M","B",30,6,4
"M","C",35,13,5
"F","C",21,7,5
"F","A",35,1,1
"M","A",31,5,5
"M","A",17,2,3
"M","D",50,16,4
"M","C",19,1,3
"M","B",17,4,4
"F","A",21,17,5
"F","A",25,6,2
"F","B",19,18,5
"F","A",35,5,4
"F","A",28,2,4
"F","C",19,2,4
"F","B",19,3,3
"F","B",23,15,4
"F","C",16,4,5
"M","B",21,7,3
"M","B",32,12,5
"M","A",26,3,3
"F","B",28,1,3
"F","C",48,23,3
"F","B",15,6,4
"M","A",17,6,3
"M","D",15,4,5
"M","B",34,5,6
"F","A",43,10,5
"F","A",29,5,2
"M","A",27,27,3
"M","C",41,6,5
"M","B",27,20,5
"M","A",24,7,4
"M","A",20,2,3
"M","B",18,4,3
"F","B",19,1,4
"F","C",16,1,4
"F","A",26,0,4
"F","B",18,2,3
"M","C",33,8,5
"M","C",29,5,4
"M","A",27,5,3
"F","B",19,11,5
"F","B",19,6,3
"F","B",16,7,5
"M","A",15,20,5
"M","C",20,6,5
"M","A",20,3,5
"F","A",23,6,3
"F","A",40,14,3
"F","C",16,5,5
"F","B",20,7,3
"M","B",31,11,4
"F","C",21,21,5
"M","A",31,6,2
"F","B",44,20,3
"F","B",19,1,4
"F","B",15,1,3
"M","B",19,3,5
"M","B",16,5,4
"M","C",15,6,5
"F","A",28,5,3
"F","B",20,7,3
"M","A",15,9,5
"F","C",35,20,5
"F","C",36,7,3
"F","B",31,12,3
"M","B",24,9,4
"M","A",37,15,3
"F","B",15,1,3
"F","C",30,1,3
"M","D",17,5,5
"F","A",15,6,3
"M","B",20,2,3
"F","C",15,2,3
"M","B",32,32,5
"M","B",34,8,4
"F","D",17,26,5
"F","A",18,6,4
"M","B",15,2,3
"F","B",24,7,3
"M","B",23,15,3
"M","A",37,33,4
"F","C",39,10,4
"F","B",22,17,4
"F","A",18,3,4
"M","B",21,7,3
"F","B",20,2,4
"F","A",20,10,5
"F","B",16,11,5
"M","A",23,8,5
"F","B",23,4,3
"F","B",20,7,3
"M","A",19,1,3
"F","A",25,1,1
"F","A",16,2,4
"F","A",32,23,3
"M","A",38,3,3
"F","A",16,2,3
"M","A",15,8,5
"F","B",23,12,3
"F","B",16,5,4
"F","A",25,1,1
"F","C",17,8,5
"F","A",15,1,4
"M","B",21,10,4
"M","B",15,1,3
"M","B",27,15,4
"M","C",17,16,5
"F","D",26,12,3
"F","B",19,13,5
"M","C",40,11,5
"F","D",36,8,5
"F","C",17,4,4
"M","B",37,23,5
"M","B",23,5,3
"F","A",29,23,4
"M","B",55,35,4
"F","A",26,2,3
"F","C",58,9,5
"F","A",20,8,5
"F","B",33,22,3
"F","B",18,4,3
"F","A",19,4,4
"F","A",27,3,3
"F","B",35,8,4
"M","A",17,2,4
"M","C",18,6,4
"M","A",35,20,5
"M","C",18,11,5
"F","C",20,4,3
"M","B",17,8,5
"M","A",27,2,2
"F","B",18,2,3
"F","A",23,13,4
"F","A",20,8,5
"M","A",19,5,3
"M","B",17,1,4
"F","B",26,11,3
"F","B",25,1,3
"F","C",17,1,4
"M","A",31,5,2
"M","A",17,41,5
"F","A",16,2,3
"F","A",23,8,3
"F","A",27,1,4
"F","A",25,6,5
"F","A",28,14,5
"M","B",20,5,5
"F","D",38,16,3
"F","A",25,2,3
"F","D",15,3,4
"M","C",16,8,4
