"Var1","Var2","Var4","Var9","Var10"
"M","C",27,21,5
"M","B",30,5,4
"F","A",25,1,3
"F","C",17,5,4
"M","A",28,4,2
"M","A",17,5,5
"F","D",27,6,3
"M","A",15,1,4
"M","B",19,4,5
"F","A",27,7,3
"F","A",17,5,5
"F","B",16,3,3
"M","B",42,16,3
"F","B",34,4,3
"F","B",28,8,4
"M","D",17,11,4
"M","B",15,6,5
"F","B",20,4,5
"F","A",32,12,1
"F","B",33,14,4
"F","B",16,13,4
"F","D",18,7,5
"F","D",19,4,4
"F","A",15,4,4
"M","C",15,4,4
"M","A",21,3,3
"M","B",26,10,3
"F","C",41,20,4
"M","C",20,8,5
"F","B",18,6,5
"F","B",15,1,4
"F","B",18,2,3
"M","C",16,1,3
"M","D",25,27,5
"F","B",20,3,3
"M","C",16,20,5
"F","C",17,7,5
"F","A",26,0,4
"F","B",31,17,5
"M","B",19,8,4
"M","B",21,6,5
"M","B",20,6,5
"F","B",58,15,2
"F","B",16,20,5
"M","B",19,4,5
"M","B",28,11,3
"M","A",18,4,4
"F","A",38,17,4
"M","A",20,9,5
"M","B",31,20,5
"F","A",30,3,2
"M","B",15,4,5
"F","C",16,13,5
"M","B",18,1,3
"F","B",49,47,4
"F","A",25,10,5
"F","A",35,1,3
"F","B",19,3,4
"F","A",23,11,3
"F","B",19,4,5
"F","A",15,5,3
"F","B",20,7,3
"F","C",34,0,1
"F","D",18,5,5
"M","C",18,4,3
"F","A",22,14,4
"F","B",19,6,3
"F","C",33,7,3
"M","B",21,8,5
"F","B",18,7,3
"F","C",17,1,3
"F","B",34,21,5
"M","A",35,14,3
"F","D",35,14,3
"F","B",27,9,4
"F","A",28,23,3
"F","A",20,4,4
"F","A",15,2,4
"M","B",17,3,4
"F","B",30,17,5
"M","B",23,10,3
"M","B",16,10,5
"F","A",18,6,3
"M","A",48,9,2
"M","B",22,3,5
"F","B",19,7,4
"M","B",22,4,3
"M","A",15,2,4
"M","A",35,15,5
"F","B",35,13,5
"F","B",19,9,4
"M","C",20,1,3
"M","B",27,6,5
"F","A",30,10,4
"M","B",25,27,5
"F","A",26,10,4
"F","B",27,12,5
"M","B",26,1,4
"F","A",19,5,4
"F","A",30,3,3
"M","B",32,27,5
"F","A",32,12,2
"M","B",16,4,5
"F","A",32,19,5
"M","C",18,5,5
"F","B",22,5,3
"F","B",17,4,3
"F","A",31,16,3
"M","B",16,2,3
"F","B",22,5,4
"F","D",29,1,3
"M","B",22,8,5
"F","B",44,17,4
"F","A",19,12,5
"M","B",20,4,5
"F","C",37,11,4
"F","B",20,10,5
"F","B",16,6,5
"F","B",42,20,3
"M","B",26,7,3
"F","B",19,4,3
"F","B",15,1,3
"M","B",24,5,5
"M","A",39,2,3
"M","D",17,25,5
"F","C",46,26,5
"F","A",55,24,3
"M","C",18,6,5
"M","C",17,4,5
"F","B",22,1,3
"M","D",29,4,3
"M","B",17,2,3
"M","D",32,11,4
"F","B",28,4,3
"F","B",15,1,3
"M","A",22,4,3
"F","B",18,7,5
"M","C",17,9,5
"F","A",42,7,2
"F","C",30,5,2
"M","B",34,19,4
"F","A",17,6,3
"F","B",26,6,4
"F","C",16,9,3
"F","B",24,9,3
"F","A",26,1,4
"M","A",26,0,3
"M","B",25,9,3
"M","B",15,4,5
"M","C",26,0,1
"M","B",30,29,3
"F","B",34,11,4
"M","B",21,8,5
"F","B",19,6,5
"M","B",53,20,3
"F","B",18,11,3
"M","A",42,24,3
"F","A",38,10,4
"M","A",30,23,3
"F","B",17,5,4
"F","B",16,3,3
"F","A",22,8,4
"F","D",34,4,4
"F","A",21,3,3
"F","B",22,11,4
"F","C",40,10,5
"F","C",31,1,3
"F","A",35,9,4
"F","B",25,5,4
"F","D",20,1,3
"F","A",30,4,2
"F","A",31,6,3
"M","C",16,4,5
"F","C",18,3,4
"M","B",19,6,4
"F","C",17,10,3
"M","C",31,1,2
"F","B",39,21,4
"M","D",19,2,3
"F","B",16,5,3
"M","A",32,26,5
"M","B",23,5,3
"F","A",24,3,3
"M","B",16,2,3
"F","C",15,8,4
"F","A",30,1,2
"M","C",15,17,5
"M","A",19,7,5
"F","A",32,14,2
"F","B",15,3,3
"M","B",16,7,5
"F","B",19,2,4
"F","A",29,9,4
"M","B",24,10,5
"F","B",19,2,3
"F","A",42,9,3
"M","C",24,8,4
"M","A",23,11,3
"F","A",16,5,4
"M","B",24,10,5
"F","C",34,7,5
"F","B",24,14,4
"F","A",16,1,4
"F","C",15,6,3
"F","A",46,20,3
"F","B",16,1,4
"M","A",22,6,4
"F","B",25,4,4
"M","D",26,12,5
"F","A",19,7,4
"M","B",25,1,3
"F","D",36,5,5
"F","A",44,35,4
"M","C",57,34,4
"F","C",20,8,5
"M","A",45,26,5
"F","B",18,5,4
"F","A",31,2,3
"M","C",26,6,3
"M","B",31,16,4
"M","A",26,1,3
"M","B",17,6,5
"M","B",30,25,5
"F","A",22,3,4
"F","C",17,5,4
"M","B",26,5,3
"F","C",19,1,3
"M","A",38,4,3
"F","A",33,18,4
"F","A",34,4,4
"M","A",31,30,5
"F","B",23,2,3
"F","B",21,10,3
"M","C",21,8,3
"M","B",16,10,4
"F","A",35,6,2
"M","C",25,3,4
"F","A",59,40,3
"M","B",18,4,4
"F","C",16,4,5
"F","A",37,4,3
"F","C",17,2,3
"M","C",27,14,5
"M","A",17,11,4
"M","A",23,41,5
"F","A",15,1,4
"M","A",20,6,4
"F","C",21,11,5
"M","B",28,5,4
"M","C",22,1,4
"M","D",17,6,6
"F","B",20,7,5
"F","A",34,1,1
"M","C",19,13,5
"F","B",17,6,3
"M","C",24,11,5
"F","C",16,5,5
"F","C",22,14,5
"F","A",26,2,3
"M","A",15,12,5
"F","C",21,10,5
"F","C",22,9,3
"F","A",23,14,4
"M","B",15,4,3
"F","C",44,26,3
"M","B",26,10,5
"M","C",52,36,4
"M","B",18,11,5
"F","A",20,15,3
"F","A",28,2,2
"F","A",27,2,2
"F","A",21,3,4
"F","B",42,32,4
"M","C",15,3,4
"M","C",15,4,5
"M","A",15,3,3
"M","B",22,16,4
"F","B",16,1,3
"F","A",25,9,5
"F","B",25,1,3
"F","D",32,14,4
"F","B",21,15,4
"F","A",60,34,4
"F","A",32,1,2
"F","B",40,7,4
"F","B",21,2,4
"F","B",20,9,5
"M","B",22,2,3
"M","A",16,1,4
"M","B",18,4,3
"F","B",17,2,3
"M","C",31,6,5
"F","C",22,6,3
"F","A",15,9,5
"F","C",28,6,5
"F","A",25,1,2
"M","B",35,10,4
"F","B",15,1,3
"F","B",20,10,5
"F","C",39,12,5
"F","C",28,8,4
"F","B",15,2,3
"F","A",30,3,3
"M","A",16,3,4
"M","A",35,18,5
"M","A",15,2,4
"F","A",31,2,3
"F","A",29,5,3
"F","B",20,1,4
"M","B",33,9,5
"F","B",72,45,3
"F","A",29,2,3
"M","B",18,5,3
"M","A",16,4,3
"F","A",16,1,3
"F","C",25,15,4
"F","A",39,18,4
"F","B",17,9,4
"F","A",15,5,4
"F","B",19,14,4
"F","A",40,14,6
"F","B",20,22,5
"M","B",26,2,4
"M","A",25,7,4
"F","A",26,3,3
"F","A",26,7,3
"M","B",30,11,5
"M","B",19,2,3
"F","B",25,15,5
"F","B",16,5,3
"M","B",28,3,4
"M","C",18,23,5
"M","C",17,5,5
"F","A",26,1,4
"F","A",31,1,3
"F","D",19,2,3
"F","B",17,2,3
"M","C",15,10,5
"F","B",39,7,2
"M","A",32,7,3
"F","B",28,16,5
"F","C",29,4,3
"F","A",29,16,4
"F","A",61,24,4
"M","B",30,17,3
"M","A",21,8,4
"M","C",17,12,5
"M","A",15,2,4
"F","B",17,12,5
"F","B",17,6,3
"F","B",21,1,4
"F","B",37,4,5
"F","B",16,2,3
"F","A",31,5,3
"M","C",27,2,2
"F","B",19,24,4
"M","A",15,3,4
"F","B",15,3,4
"M","B",21,8,3
"M","A",32,9,2
"F","A",22,10,3
"M","A",17,5,3
"F","A",25,1,1
"F","B",22,3,3
"F","A",18,4,4
"F","C",24,5,4
"M","D",32,9,5
"F","C",26,2,2
"F","A",23,7,5
"M","B",16,6,5
"M","A",15,1,4
"F","B",26,13,4
"M","B",16,2,4
"M","B",24,13,5
"F","A",15,1,3
"F","A",24,16,5
"F","A",33,15,5
"M","A",38,12,4
"F","B",27,18,3
"M","C",16,5,3
"F","B",42,13,3
"F","C",25,16,5
"M","B",32,10,5
"F","B",15,3,4
"M","D",21,2,3
"F","D",21,3,3
"M","A",27,4,4
"F","B",25,10,5
"F","A",27,1,5
"F","B",27,2,3
"F","B",21,5,3
"M","B",34,3,3
"F","B",15,14,5
"M","C",17,6,4
"M","B",30,10,4
"F","A",17,2,4
"M","B",17,4,3
"M","A",41,6,4
"M","B",31,22,5
"F","B",24,28,5
"M","B",21,6,5
"M","C",20,4,3
"F","A",15,4,5
"M","B",22,9,5
"F","B",32,14,3
"M","B",19,8,5
"F","D",25,4,3
"F","A",28,3,1
"F","B",18,4,4
"F","B",15,5,4
"M","C",23,24,5
"F","A",32,4,3
"F","D",27,6,4
"F","A",29,2,3
"M","A",25,7,3
"F","B",46,13,5
"F","B",30,10,5
"F","C",15,3,4
"M","B",23,8,3
"M","B",20,5,5
"M","B",18,13,5
"F","A",22,7,3
"F","B",20,13,5
"F","B",26,4,5
"F","A",27,2,3
"F","A",18,5,5
"M","A",20,4,4
"F","A",27,2,3
"F","B",19,12,5
"F","B",23,4,4
"F","B",34,7,5
"M","A",20,9,3
"M","A",20,5,3
"F","B",22,1,4
"M","B",15,1,3
"F","C",54,11,3
"F","B",32,12,4
"M","B",16,4,5
"F","B",24,8,4
"M","D",15,6,5
"F","C",15,4,5
"M","B",20,1,4
"F","B",37,17,3
"M","A",15,5,5
"F","B",23,10,4
"F","A",16,1,3
"M","A",35,8,3
"F","B",15,3,3
"M","B",29,1,4
"M","D",35,12,4
"F","A",33,6,3
"M","B",16,9,5
"F","A",18,1,4
"M","A",15,5,5
"M","B",19,6,3
"M","D",19,1,3
"F","B",26,2,4
"M","B",18,15,3
"F","C",24,7,5
"F","C",22,2,3
"M","B",20,13,5
"M","C",17,6,5
"F","C",16,2,4
"F","B",30,3,3
"M","B",50,30,3
"F","C",27,23,5
"F","B",23,1,3
"F","A",30,19,5
"M","B",15,6,4
"F","B",28,15,4
"F","B",30,13,5
"F","A",31,1,2
"F","A",26,8,4
"F","A",51,12,2
"M","B",51,33,4
"F","B",31,12,4
"M","A",25,13,5
"M","B",23,6,5
"M","B",22,9,3
"M","C",23,11,5
"M","C",40,7,5
"F","B",24,7,3
"M","A",20,16,5
"M","B",21,8,3
"M","B",17,2,4
"M","C",51,15,5
"M","A",17,7,5
"F","A",31,15,4
"F","B",47,10,1
"F","A",37,13,3
"F","C",18,4,3
"F","B",15,1,3
"F","B",17,1,3
"M","B",22,5,5
"F","A",22,4,3
"M","C",17,24,5
"F","B",26,7,3
"M","D",15,5,5
"F","C",17,10,5
"F","A",31,1,3
"F","D",18,6,5
"F","B",42,15,5
"F","A",33,5,2
"F","B",15,1,3
"F","B",17,5,3
"M","A",18,3,3
"M","D",20,18,5
"M","B",22,7,3
"F","B",23,5,4
"F","B",22,10,5
"M","B",19,3,4
"F","B",15,2,4
"M","C",23,9,5
"F","A",31,13,3
"F","C",21,1,3
"M","A",17,4,5
"M","B",34,10,5
"F","A",28,3,3
"F","B",20,9,5
"F","A",28,6,3
"F","B",29,2,2
"M","B",21,4,3
"M","A",15,5,5
"M","B",17,4,4
"F","A",28,4,5
"F","A",22,5,4
"M","C",21,14,5
"M","B",17,4,5
"F","C",15,2,5
"M","A",26,5,3
"F","C",16,4,4
"M","A",16,1,3
"F","A",15,4,6
"F","C",22,7,4
"F","B",16,2,3
"M","A",15,3,3
"M","C",18,4,5
"M","C",23,16,4
"F","A",26,3,4
"F","A",17,2,3
"F","A",16,1,4
"F","A",24,2,3
"M","A",29,2,3
"F","A",24,7,3
"M","B",21,10,5
"F","C",15,1,4
"M","C",18,3,3
"F","D",35,8,3
"M","B",19,17,5
"F","A",26,3,3
"F","C",26,14,5
"M","B",17,4,4
"M","C",27,12,5
"F","B",20,9,4
"F","A",28,10,4
"M","A",31,1,3
"F","B",22,8,4
"F","A",28,7,3
"M","B",24,4,3
"M","B",15,2,4
"M","B",18,4,5
"F","B",46,15,5
"F","A",39,3,2
"F","A",25,4,4
"F","C",61,34,5
"M","B",44,34,4
"M","B",26,28,4
"F","A",31,4,3
"F","A",30,9,3
"M","B",37,7,4
"F","B",20,17,6
"F","A",17,4,3
"F","A",18,7,3
"F","C",23,6,4
"F","C",53,23,4
"M","A",16,1,4
"M","B",15,3,3
"M","B",17,2,3
"F","A",24,11,3
"F","A",33,3,3
"F","B",16,3,5
"F","A",68,26,3
"F","A",17,1,4
"M","D",42,17,5
"M","B",29,7,5
"F","A",32,18,5
"M","D",20,2,4
"F","B",15,2,3
"F","B",19,2,3
"M","B",28,23,5
"M","A",19,7,5
"F","A",26,12,3
"M","C",29,10,5
"F","A",26,2,3
"F","C",17,2,3
"F","A",25,2,3
"F","A",25,1,4
"M","C",22,8,5
"M","B",21,17,5
"F","A",34,8,3
"M","B",19,5,3
"F","A",18,5,4
"M","A",17,15,5
"F","B",16,5,4
"F","B",27,1,3
"F","C",19,2,4
"F","A",34,21,3
"M","B",20,6,5
"M","D",22,13,5
"M","A",33,5,3
"F","B",27,9,5
"F","B",20,8,3
"F","A",15,2,3
"F","A",26,11,4
"F","A",50,13,2
"F","D",40,21,5
"F","A",30,1,5
"M","C",31,9,3
"F","C",21,4,5
"F","C",64,15,5
"F","B",19,11,5
"F","B",15,4,5
"F","A",25,7,3
"F","A",25,4,3
"M","A",15,3,3
"F","A",59,19,4
"F","C",17,2,4
"M","A",20,1,4
"M","B",17,3,4
"F","C",28,1,2
"M","B",22,5,3
"F","A",27,2,3
"F","C",36,14,5
"M","C",20,4,5
"F","B",28,4,4
"F","B",33,10,1
"F","A",21,17,5
"F","A",34,2,2
"F","A",18,6,4
"F","B",25,20,5
"F","A",25,4,3
"M","B",15,12,5
"F","A",15,1,3
"F","C",16,10,5
"M","A",28,13,4
"M","A",48,7,2
"F","B",27,10,5
"F","D",15,5,5
"F","A",26,2,2
"F","D",15,17,5
"F","B",21,2,4
"F","A",30,11,4
"F","A",37,3,1
"F","B",22,4,4
"F","B",24,2,4
"F","C",27,10,5
"M","C",26,11,5
"F","D",25,7,2
"M","B",15,2,4
"M","B",15,2,4
"F","C",27,5,5
"F","A",32,1,2
"F","C",19,12,3
"F","A",16,2,4
"F","B",18,4,4
"M","A",37,6,3
"M","C",15,5,3
"F","B",31,11,4
"F","B",36,8,5
"F","C",15,2,3
"M","C",22,30,5
"M","C",41,22,3
"M","B",16,6,5
"M","C",34,23,5
"M","B",19,11,5
"F","B",17,10,5
"F","A",15,3,4
"F","D",17,5,5
"F","C",15,1,3
"F","B",34,8,4
"F","C",30,9,2
"M","B",16,2,4
"M","A",21,5,3
"F","B",34,20,4
"M","B",19,31,5
"M","A",17,9,5
"F","B",23,5,4
"M","B",25,1,5
"M","B",15,7,5
"M","B",26,9,3
"M","C",16,3,3
"M","C",23,7,5
"F","A",21,8,4
"M","C",31,26,5
"M","B",19,5,4
"M","C",18,4,5
"M","C",25,8,2
"F","B",18,11,5
"M","A",20,5,3
"M","B",26,11,3
"F","A",75,28,4
"F","B",16,3,3
"M","C",52,43,4
"F","C",52,12,3
