"Var1","Var2","Var4","Var9","Var10","Var11","Var12","Var13","Var14","Var15","Var16","Var17","Var18","Var19","Var20"
"F","D",33,14,5,"M","B","AZ",30,0,3,2,2,3,4
"M","C",16,8,3,"M","A","IC",27,2,2,0,2,15,4
"M","C",31,7,5,"F","B","EY",19,1,1,0,1,4,4
"M","C",27,8,5,"F","B","AZ",27,0,0,1,1,6,4
"F","A",28,3,3,"M","A","AZ",15,0,2,4,6,9,5
"M","A",27,2,3,"F","D","IC",16,3,3,5,4,11,5
"F","C",29,11,5,"F","B","IC",17,2,3,2,2,5,5
"F","A",15,1,4,"M","B","EY",15,1,1,2,3,1,4
"M","B",19,5,4,"M","B","CJ",18,0,0,2,5,3,4
"F","C",18,5,5,"M","A","CB",17,0,0,4,2,3,4
"F","C",16,6,4,"F","A","AZ",34,1,2,2,3,19,5
"F","A",28,1,3,"F","A","PO",26,2,0,2,0,1,2
"F","B",34,25,2,"M","B","PO",23,1,0,0,4,10,3
"M","A",35,19,5,"F","B","PO",16,1,2,4,7,2,4
"F","B",29,3,3,"M","A","CJ",22,0,1,4,1,4,5
"F","B",52,21,5,"M","C","PO",18,4,2,3,4,10,5
"F","C",34,9,4,"F","A","CB",48,2,2,0,3,2,3
"M","A",38,11,4,"F","B","AZ",20,2,1,1,3,5,3
"M","B",20,6,4,"F","B","IC",34,0,0,0,1,4,3
"M","C",17,18,5,"M","C","AZ",24,4,0,3,4,10,5
"M","B",25,18,5,"M","B","PO",28,3,0,1,1,14,5
"M","C",15,9,5,"M","C","CB",18,0,1,1,4,7,4
"F","C",41,7,1,"M","A","CJ",17,1,0,1,5,1,4
"F","A",29,0,3,"F","C","AZ",15,0,0,0,4,2,4
"F","A",59,18,3,"F","B","PO",18,0,0,3,2,7,4
"F","C",18,4,5,"M","B","EY",26,1,3,1,3,11,4
"F","C",27,11,3,"F","B","CJ",17,1,2,0,5,3,3
"F","A",28,5,3,"M","D","CB",37,2,2,1,1,24,5
"M","A",17,1,3,"M","B","PO",16,1,0,2,4,3,4
"M","D",15,1,3,"F","B","ST",30,2,0,1,0,1,3
"F","A",19,4,4,"M","D","AZ",21,1,0,2,2,7,5
"F","B",15,4,3,"F","A","CJ",25,1,0,3,3,10,3
"F","A",25,9,3,"F","B","CB",27,1,1,2,2,8,5
"F","C",15,7,4,"F","A","ST",50,0,1,0,0,6,2
"M","B",17,8,5,"M","C","CB",20,1,0,3,4,7,4
"M","C",18,6,5,"F","A","EY",25,2,4,0,0,1,3
"M","A",17,14,3,"M","A","AZ",41,2,0,1,0,5,5
"F","C",16,4,5,"F","C","PO",64,1,0,0,0,20,5
"M","B",16,1,4,"F","C","AZ",32,1,0,2,3,18,4
"M","B",28,16,4,"F","B","AZ",17,0,1,1,5,5,5
"F","A",28,3,3,"M","A","CB",31,2,2,0,0,3,2
"F","A",23,5,4,"M","B","PO",41,1,3,2,2,7,5
"F","A",18,1,5,"M","B","ST",25,0,0,0,2,13,3
"F","C",24,9,5,"F","A","CB",25,0,1,0,0,5,4
"M","B",15,5,5,"M","B","PO",64,5,0,4,5,13,5
"F","A",25,1,1,"F","B","AZ",20,1,1,2,5,3,3
"F","C",15,1,4,"M","A","PO",30,2,1,2,1,4,5
"F","B",19,3,4,"F","B","CJ",29,2,0,6,1,7,5
"F","B",17,1,4,"F","B","EY",22,1,0,1,2,1,4
"M","A",25,2,3,"M","B","AZ",35,2,1,2,1,8,5
"F","B",28,15,5,"F","C","CB",20,1,1,1,2,4,4
"F","A",31,13,3,"F","D","AZ",25,0,1,0,1,1,3
"F","B",29,11,5,"M","A","IC",31,1,3,2,1,6,3
"F","B",25,10,3,"M","A","AZ",32,1,0,0,0,2,3
"M","A",17,1,4,"M","A","CB",16,0,1,0,1,2,4
"F","B",41,17,4,"F","A","AZ",27,1,1,3,1,5,2
"F","B",16,1,3,"F","A","PO",27,1,2,1,3,6,3
"M","C",24,6,5,"F","C","CB",20,1,1,0,1,5,5
"F","D",17,4,5,"F","A","PO",22,3,3,0,1,10,3
