"Var1","Var2","Var3","Var4","Var5","Var6","Var7","Var8","Var9","Var10"
"M","D","AZ",47,0,2,0,4,10,4
"F","B","EY",18,0,2,1,5,5,3
"M","B","PO",15,2,1,0,2,5,3
"M","B","PO",22,2,1,4,4,5,5
"F","B","IC",25,3,1,1,0,9,5
"F","B","PO",38,2,1,2,5,13,3
"F","B","AZ",15,1,0,2,4,12,4
"F","A","AZ",18,3,3,4,2,10,5
"F","A","IC",36,0,0,1,3,1,2
"M","B","AZ",19,3,1,3,3,9,5
"M","B","IC",24,2,1,3,2,5,5
"M","A","AZ",24,3,1,5,0,19,5
"F","A","AZ",25,0,0,0,0,11,3
"M","C","CB",25,1,1,0,2,7,3
"F","A","IC",18,1,3,0,2,3,3
"F","B","CB",47,0,0,0,0,22,3
"F","B","AZ",16,2,0,0,3,3,3
"F","B","AZ",21,2,0,1,3,4,4
"F","D","PO",15,0,0,0,3,1,4
"F","C","PO",15,2,2,1,1,5,5
"M","C","AZ",19,0,3,3,3,6,5
"M","B","AZ",24,1,0,1,0,6,5
"M","C","IC",17,2,2,0,0,6,5
"M","D","IC",16,0,2,0,4,2,3
"M","B","CJ",20,1,0,2,1,8,5
"F","A","EY",31,0,0,2,1,22,2
"F","B","EY",17,2,1,2,5,2,4
"M","B","CJ",20,0,2,4,3,11,5
"F","A","EY",37,1,0,2,5,10,3
"F","A","AZ",16,1,1,1,2,6,3
"F","C","PO",17,1,2,2,1,10,5
"F","A","IC",41,0,1,0,3,29,3
"F","A","IC",30,0,1,1,1,1,3
"M","C","AZ",22,3,3,2,5,15,5
"M","C","PO",26,1,0,3,4,17,3
"M","A","AZ",60,1,1,0,3,29,4
"F","D","CJ",18,0,0,1,2,2,4
"M","B","IC",24,0,3,2,1,12,4
"F","C","CB",25,2,2,4,3,15,5
"F","A","PO",20,0,0,6,2,8,5
"M","B","PO",29,1,2,2,6,13,4
"F","A","EY",28,1,2,0,0,1,3
"F","A","IC",25,0,2,5,1,17,5
"F","C","EY",41,1,1,3,3,4,3
"F","C","AZ",43,1,1,1,1,13,5
"M","B","IC",15,1,2,1,3,3,3
"M","C","PO",18,4,2,2,3,4,5
"F","C","AZ",17,2,0,4,4,4,5
"F","A","AZ",24,0,0,2,3,8,4
"F","A","AZ",16,1,0,4,5,11,3
"F","C","CJ",18,0,1,0,2,6,4
