"Var1","Var2","Var4","Var9","Var10"
"F","A",16,1,3
"M","D",15,3,3
"M","D",18,13,5
"M","C",18,4,3
"M","B",24,9,5
"M","A",27,12,3
"F","B",23,5,5
"F","A",16,8,4
"F","B",16,4,3
"M","A",33,6,3
"M","B",16,1,4
"M","A",31,15,4
"F","B",17,5,5
"M","C",21,10,4
"F","A",15,1,4
"F","D",26,5,3
"M","B",32,22,4
"F","C",17,1,3
"M","A",18,6,3
"F","C",16,2,3
"M","C",23,4,5
"F","A",31,3,3
"F","C",52,24,3
"M","B",25,5,5
"F","C",22,22,3
"F","A",24,4,3
"F","A",27,2,3
"F","B",27,12,5
"M","C",19,25,3
"M","B",21,7,3
"M","B",40,10,5
"F","C",27,8,3
"F","C",15,2,3
"M","C",18,1,4
"F","B",15,8,4
"F","B",20,5,4
"F","D",25,6,5
"M","B",51,40,6
"M","C",20,11,3
"F","A",23,1,3
"F","B",29,7,5
"F","C",15,2,4
"M","A",38,11,5
"F","B",31,16,5
"M","B",22,5,3
"F","B",44,5,2
"F","B",18,4,4
"F","B",20,8,5
"M","C",18,6,5
"M","B",23,3,3
"M","B",18,2,3
"F","C",18,7,3
"F","B",23,1,4
"F","A",35,25,5
"F","A",17,3,3
"F","A",26,1,3
"M","D",15,4,5
"F","B",43,11,4
"F","D",22,15,5
"M","A",32,19,5
"M","A",74,33,4
"M","B",25,10,5
"M","A",31,1,2
"M","A",41,17,5
"M","B",19,8,4
"M","A",18,3,5
"F","A",33,10,3
"M","C",37,12,4
"F","A",30,10,4
"M","B",15,2,3
"F","C",17,1,3
"F","A",26,7,2
"M","A",17,8,5
"F","D",26,6,5
"M","A",34,24,3
"F","B",24,3,4
"F","C",23,8,5
"F","C",24,17,5
"F","A",25,1,2
"M","B",21,2,4
"M","D",15,1,4
"F","A",19,6,4
"M","B",25,9,5
"M","C",20,7,4
"F","C",23,2,3
"M","A",20,5,5
"F","B",16,4,3
"M","A",32,2,3
"M","B",27,8,3
"F","A",35,3,3
"M","B",15,8,5
"F","B",16,1,4
"F","D",16,5,4
"M","C",26,4,3
"M","C",35,8,5
"F","A",64,6,2
"F","B",17,15,5
"M","B",17,3,3
"M","D",41,17,3
"F","A",20,19,5
"F","A",20,3,3
"M","A",42,1,3
"M","B",17,2,3
"F","C",42,12,3
"F","C",18,10,5
"M","C",42,13,1
"F","B",16,1,3
"M","B",31,1,4
"F","C",17,3,3
"M","A",21,16,4
"F","A",34,12,2
"M","A",37,8,3
"F","B",31,25,5
"M","B",28,9,4
"F","C",24,2,4
"F","A",25,7,1
"F","A",25,6,4
"M","C",44,10,3
"F","C",41,14,5
"F","C",15,2,4
"F","B",20,4,5
"F","B",18,1,4
"F","B",17,2,3
"M","B",27,14,5
"F","B",23,6,3
"M","C",20,13,5
"F","A",41,4,3
"M","B",18,16,5
"F","B",16,4,3
"F","C",17,12,4
"M","C",20,12,5
"F","A",16,2,3
"M","B",40,13,5
"F","B",16,2,3
"M","C",34,13,5
"F","B",24,9,3
"F","A",29,1,3
"F","A",28,3,1
"F","B",24,2,4
"M","D",19,28,5
"M","B",20,9,5
"F","D",36,6,5
"M","A",21,9,5
"M","B",29,14,3
"F","A",15,5,3
"F","D",36,8,3
"F","B",17,2,4
"M","B",22,11,3
"M","B",19,4,3
"F","A",29,12,1
"F","C",19,8,5
"F","A",29,4,3
"M","B",24,23,5
"M","A",23,6,4
"M","A",16,3,4
"F","A",39,16,2
"F","A",19,6,3
"F","A",36,13,2
"M","C",31,13,5
"M","A",26,11,5
"M","B",23,1,3
"M","A",19,1,3
"M","A",29,5,4
"F","D",33,5,4
"F","C",29,13,2
"F","A",26,7,4
"F","C",22,8,5
"F","B",24,1,3
"F","C",30,12,5
"F","C",36,2,3
"M","C",22,8,5
"F","B",15,1,4
"M","B",19,9,5
"M","A",19,5,4
"F","A",33,5,4
"F","D",21,7,5
"F","B",16,6,3
"F","C",15,2,4
"M","B",18,4,5
"F","A",18,4,5
"M","B",17,1,4
"M","B",19,10,5
"F","A",25,2,4
"F","A",16,3,3
"F","B",19,7,4
"F","A",27,1,3
"M","A",38,5,1
"F","A",25,4,3
"M","B",15,13,3
"M","C",45,1,3
"M","A",17,2,3
"M","C",32,11,4
"M","B",17,7,5
"F","C",17,5,4
"M","C",16,8,6
"M","A",26,6,5
"M","A",32,2,1
"M","B",31,20,5
"M","A",15,1,4
"F","B",25,9,3
"M","C",15,8,5
"F","A",16,3,3
"M","D",23,24,5
"F","A",31,1,3
"F","A",15,8,4
"F","C",15,11,5
"F","A",28,39,2
"F","B",51,20,3
"F","A",30,10,3
"M","C",27,6,5
"M","B",27,18,4
"F","C",27,4,4
"F","A",38,8,4
"F","A",16,3,3
"M","B",15,5,4
"M","B",18,4,4
"F","B",19,3,4
"M","B",42,1,3
"M","A",33,3,1
"M","B",34,9,3
