"가구구분코드","가구원수","취업인원수","노인가구여부","모자가구여부","맞벌이가구여부","일반가구여부","세대구분코드","배우자코드","가구주_성별코드","가구주_연령","가구주_학력코드","가구주_수학구분코드","가구주_취업여부","가구주_10차산업분류코드","가구주_7차직업분류코드","거처구분코드","자동차보유대수","입주형태코드","월세평가금액","전세보증금","월세사글세","주거용전용면적","주택소유유무","가중값","전국전체가구_1인이상소득5분위코드","전국전체가구_1인이상소득10분위코드","소득구간코드","가계지출금액","가계지출_소비지출금액","가계지출_소비지출_식료품비주류음료구입비","가계지출_소비지출_주류담배구입비","가계지출_소비지출_의류신발구입비","가계지출_소비지출_주거수도광열비","가계지출_소비지출_가정용품가사서비스이용금액","가계지출_소비지출_보건제품구입비","가계지출_소비지출_교통비","가계지출_소비지출_통신비","가계지출_소비지출_오락문화비","가계지출_소비지출_교육비","가계지출_소비지출_음식숙박비","가계지출_소비지출_기타상품서비스이용금액","가계지출_비소비지출금액","도시읍면부구분코드"
"근로자외 가구",2,1,"아님","아님","아님","해당","1세대","있음(동거)","남자",58,"대학교(4년제 이상)","졸업","취업","운수 및 창고업","장치,기계조작 및 조립 종사자","아 파 트",1,"전세",800,2e+05,0,84,"있음",846.7012,"5분위","9분위","700만원 이상",3612458,2437650,516410,363,73435,215278,349775,490398,58838,82815,61834,62250,255750,270506,1174808,"도시"
"근로자외 가구",2,0,"아님","아님","아님","해당","1세대","있음(동거)","남자",66,"초등학교","졸업","비취업","기타,무직","기타,무직","다세대주택",0,"자기집",556,0,150000,46,"있음",1220.4403,"1분위","1분위","100만원 미만",1444174,1267661,443473,6672,56017,97910,12313,221968,36400,44250,25277,0,222233,101148,176513,"도시"
"근로자외 가구",1,0,"해당","아님","아님","아님","1세대","없음","여자",93,"무학","무학(또는 해당없음)","비취업","기타,무직","기타,무직","아 파 트",0,"자기집",500,0,80000,75,"있음",1442.9055,"1분위","2분위","100~200만원 미만",843173,635438,326195,2163,6667,167363,4595,39967,6667,14850,25988,0,20483,20500,207735,"비도시"
"근로자가구",3,2,"아님","아님","아님","해당","3세대이상","없음","여자",58,"고등학교","졸업","취업","제조업","사무 종사자","아 파 트",0,"자기집",500,0,1e+05,103,"있음",2022.5578,"5분위","9분위","700만원 이상",3530903,1679851,186012,91667,35300,239455,45893,105898,108617,129159,308255,0,314683,114912,1851051,"도시"
"근로자외 가구",4,2,"아님","아님","해당","아님","2세대","있음(동거)","남자",44,"대학교(4년제 이상)","졸업","취업","숙박 및 음식점업","서비스 종사자","단독주택(다가구주택 포함)",1,"보증부 월세",847,9000,0,103,"있음",539.9949,"5분위","10분위","700만원 이상",6312289,5609917,960898,145983,50913,1007473,11078,33517,490878,741745,126784,1172820,692967,174860,702372,"도시"
"근로자가구",3,1,"아님","아님","아님","해당","3세대이상","없음","여자",42,"고등학교","졸업","취업","도매 및 소매업","전문가 및 관련 종사자","아 파 트",2,"영구임대",600,45000,0,51,"없음",1867.9558,"4분위","7분위","400~500만원 미만",3854935,3213770,682472,150882,113450,501805,117000,115558,301988,74363,35900,292583,674063,153705,641165,"도시"
"근로자가구",1,1,"아님","아님","아님","해당","1세대","없음","여자",51,"고등학교","졸업","취업","숙박 및 음식점업","단순노무 종사자","단독주택(다가구주택 포함)",0,"보증금 없는 월세",250,0,0,49,"없음",2387.9269,"1분위","2분위","100~200만원 미만",1195911,1107680,321400,1880,7120,279250,21654,82176,42280,53535,9162,0,151160,138063,88231,"도시"
"근로자외 가구",2,0,"해당","아님","아님","아님","1세대","있음(동거)","남자",80,"중학교","졸업","비취업","기타,무직","기타,무직","단독주택(다가구주택 포함)",0,"자기집",305,0,68000,80,"있음",259.4518,"1분위","1분위","100만원 미만",1188409,1048409,278865,202560,56000,109705,41050,58000,11350,11229,12400,0,217000,50250,140000,"도시"
"근로자가구",3,2,"아님","아님","아님","해당","3세대이상","없음","여자",39,"고등학교","졸업","취업","제조업","사무 종사자","연립주택",1,"자기집",570,0,98000,60,"있음",2516.2463,"4분위","7분위","500~600만원 미만",4980628,4103719,437000,78667,168233,229698,501699,259360,413338,303435,267951,448333,375700,620304,876910,"도시"
"근로자가구",3,2,"아님","아님","아님","해당","2세대","있음(비동거)","여자",57,"고등학교","졸업","취업","공공행정, 국방 및 사회보장 행정","사무 종사자","아 파 트",1,"자기집",950,0,295000,84,"있음",1963.0456,"5분위","10분위","700만원 이상",5194758,3326962,333645,233,544773,229879,55092,133695,413067,187931,376050,91667,562210,398720,1867796,"도시"
"근로자외 가구",2,2,"아님","아님","해당","아님","1세대","있음(동거)","남자",61,"대학교(4년제 이상)","졸업","취업","금융 및 보험업","사무 종사자","연립주택",2,"자기집",330,0,1e+05,56,"있음",395.1805,"5분위","10분위","700만원 이상",4343594,2767034,374300,77667,240333,204507,48333,247000,327333,193373,108833,0,721667,223688,1576560,"도시"
"근로자가구",4,1,"아님","아님","아님","해당","2세대","있음(동거)","남자",41,"대학원(석사)","졸업","취업","운수 및 창고업","전문가 및 관련 종사자","아 파 트",2,"자기집",1020,0,5e+05,85,"있음",3694.6509,"4분위","8분위","600~700만원 미만",4928777,3647880,394230,74398,168820,334607,264122,170482,387379,118890,88617,1063333,415188,167815,1280897,"도시"
"근로자가구",2,1,"아님","아님","아님","해당","2세대","없음","여자",60,"고등학교","졸업","취업","보건업 및 사회복지사업","서비스 종사자","단독주택(다가구주택 포함)",0,"자기집",400,0,70000,83,"있음",835.1367,"2분위","3분위","200~300만원 미만",1874363,1532281,603555,13667,103132,181937,101323,62247,46583,70441,41748,0,199500,108148,342082,"도시"
"근로자가구",1,1,"아님","아님","아님","해당","1세대","없음","여자",41,"대학교(4년제 이상)","졸업","취업","교육 서비스업","전문가 및 관련 종사자","오피스텔",1,"자기집",700,0,210000,60,"있음",1789.6931,"2분위","3분위","200~300만원 미만",2266664,1718021,217470,0,113233,145113,66517,181198,235208,53350,195000,0,345800,165131,548643,"도시"
"근로자가구",1,1,"아님","아님","아님","해당","1세대","없음","여자",39,"대학교(4년제 이상)","졸업","취업","건설업","사무 종사자","다세대주택",1,"보증부 월세",367,5000,0,31,"없음",1677.8263,"2분위","3분위","200~300만원 미만",2309572,1758935,58461,0,87400,390328,37525,602200,77865,66066,51623,0,202825,184642,550638,"도시"
"근로자외 가구",1,0,"아님","아님","아님","해당","1세대","없음","여자",62,"초등학교","중퇴","비취업","기타,무직","기타,무직","단독주택(다가구주택 포함)",0,"보증부 월세",200,5000,0,18,"없음",725.3233,"1분위","2분위","100~200만원 미만",1301399,1028066,341873,0,41000,257983,24000,124433,78833,24720,12200,0,90567,32456,273333,"도시"
